statisticcat_desc,zip_5,group_desc,week_ending,agg_level_desc,congr_district_code,country_name,year,state_alpha,freq_desc,source_desc,watershed_desc,region_desc,sector_desc,location_desc,domain_desc,asd_desc,watershed_code,load_time,county_ansi,util_practice_desc,asd_code,county_code,county_name,unit_desc,Value,state_name,domaincat_desc,state_fips_code,begin_code,state_ansi,prodn_practice_desc,reference_period_desc,class_desc,commodity_desc,short_desc,end_code,CV (%),country_code
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2024,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2024-09-12 12:00:00.000,,GRAIN,,,,BU,"79,209,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - SEP FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2023,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2024-09-30 12:00:00.000,,GRAIN,,,,BU,0,OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2023,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2023-08-11 12:00:00.000,,GRAIN,,,,BU,"77,966,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - AUG FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2023,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2023-11-09 12:00:00.000,,GRAIN,,,,BU,"77,708,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - NOV FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2023,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2023-10-12 12:00:00.000,,GRAIN,,,,BU,"77,708,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - OCT FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2023,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2023-09-12 12:00:00.000,,GRAIN,,,,BU,"77,708,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - SEP FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2022,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2024-01-09 15:00:00.000,,GRAIN,,,,BU,0,OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2022,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2022-08-12 12:00:52.000,,GRAIN,,,,BU,"59,955,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - AUG FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2022,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2022-11-09 12:00:00.000,,GRAIN,,,,BU,"59,876,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - NOV FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2022,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2022-10-12 12:00:00.000,,GRAIN,,,,BU,"59,876,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - OCT FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2022,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2022-09-12 12:03:33.000,,GRAIN,,,,BU,"60,958,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - SEP FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2021,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2024-01-09 15:00:00.000,,GRAIN,,,,BU,0,OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2021,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2021-08-12 12:01:34.000,,GRAIN,,,,BU,"71,838,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - AUG FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2021,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2021-11-09 12:02:06.000,,GRAIN,,,,BU,"71,707,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - NOV FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2021,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2021-10-12 12:01:38.000,,GRAIN,,,,BU,"71,707,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - OCT FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2021,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2021-09-10 12:08:17.000,,GRAIN,,,,BU,"70,887,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - SEP FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2020,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2024-01-09 15:00:00.000,,GRAIN,,,,BU,0,OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2020,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2020-08-12 12:04:12.000,,GRAIN,,,,BU,"68,992,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - AUG FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2020,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2020-11-10 12:02:34.000,,GRAIN,,,,BU,"70,345,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - NOV FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2020,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2020-10-09 12:01:33.000,,GRAIN,,,,BU,"70,345,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - OCT FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2020,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2020-09-11 12:03:32.000,,GRAIN,,,,BU,"68,992,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - SEP FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2019,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2024-01-09 15:00:00.000,,GRAIN,,,,BU,0,OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2019,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2019-08-12 12:01:08.000,,GRAIN,,,,BU,"71,431,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - AUG FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2019,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2019-11-08 12:00:46.000,,GRAIN,,,,BU,"75,720,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - NOV FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2019,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2019-10-10 12:03:54.000,,GRAIN,,,,BU,"75,720,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - OCT FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2019,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2019-09-12 12:01:19.000,,GRAIN,,,,BU,"71,036,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - SEP FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2018,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2024-01-09 15:00:00.000,,GRAIN,,,,BU,0,OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2018,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2018-08-10 12:01:40.000,,GRAIN,,,,BU,"66,100,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - AUG FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2018,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2018-11-08 12:01:20.000,,GRAIN,,,,BU,"66,990,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - NOV FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2018,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2018-10-11 12:02:09.000,,GRAIN,,,,BU,"66,990,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - OCT FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2018,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2018-09-12 12:02:09.000,,GRAIN,,,,BU,"66,435,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - SEP FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2017,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2018-01-12 12:02:42.000,,GRAIN,,,,BU,0,OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2017,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2017-08-10 12:08:28.000,,GRAIN,,,,BU,"71,196,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - AUG FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2017,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2017-11-09 12:02:08.000,,GRAIN,,,,BU,"66,912,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - NOV FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2017,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2017-10-12 12:04:13.000,,GRAIN,,,,BU,"66,912,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - OCT FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2017,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2017-09-12 12:01:44.000,,GRAIN,,,,BU,"71,196,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - SEP FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2016,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2018-01-12 12:02:42.000,,GRAIN,,,,BU,0,OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2016,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2016-08-12 12:00:00.000,,GRAIN,,,,BU,"71,055,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - AUG FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2016,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2016-11-09 13:11:41.000,,GRAIN,,,,BU,"72,821,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - NOV FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2016,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2016-10-12 12:00:00.000,,GRAIN,,,,BU,"72,821,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - OCT FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2016,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2016-09-12 12:00:00.000,,GRAIN,,,,BU,"71,055,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - SEP FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2015,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2016-01-12 13:18:01.000,,GRAIN,,,,BU,0,OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2015,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2015-08-12 12:00:00.000,,GRAIN,,,,BU,"63,590,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - AUG FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2015,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2015-11-10 12:00:00.000,,GRAIN,,,,BU,"62,845,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - NOV FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2015,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2015-10-09 12:00:00.000,,GRAIN,,,,BU,"62,845,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - OCT FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2015,OT,ANNUAL,SURVEY,,,CROPS,OTHER STATES,TOTAL,,00000000,2015-09-11 12:00:00.000,,GRAIN,,,,BU,"63,590,000",OTHER STATES,NOT SPECIFIED,98,00,,ALL PRODUCTION PRACTICES,YEAR - SEP FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2026,AL,ANNUAL,SURVEY,,,CROPS,ALABAMA,TOTAL,,00000000,2026-08-12 12:00:00.000,,GRAIN,,,,BU,"53,130,000",ALABAMA,NOT SPECIFIED,01,00,01,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2026,AL,ANNUAL,SURVEY,,,CROPS,ALABAMA,TOTAL,,00000000,2026-08-12 12:00:00.000,,GRAIN,,,,BU,"53,130,000",ALABAMA,NOT SPECIFIED,01,00,01,ALL PRODUCTION PRACTICES,YEAR - AUG FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2025,AL,ANNUAL,SURVEY,,,CROPS,ALABAMA,TOTAL,,00000000,2026-01-12 12:00:00.000,,GRAIN,,,,BU,"51,680,000",ALABAMA,NOT SPECIFIED,01,00,01,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2025,AL,ANNUAL,SURVEY,,,CROPS,ALABAMA,TOTAL,,00000000,2025-08-12 12:00:00.000,,GRAIN,,,,BU,"51,810,000",ALABAMA,NOT SPECIFIED,01,00,01,ALL PRODUCTION PRACTICES,YEAR - AUG FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2025,AL,ANNUAL,SURVEY,,,CROPS,ALABAMA,TOTAL,,00000000,2025-11-14 12:00:00.000,,GRAIN,,,,BU,"53,380,000",ALABAMA,NOT SPECIFIED,01,00,01,ALL PRODUCTION PRACTICES,YEAR - NOV FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2025,AL,ANNUAL,SURVEY,,,CROPS,ALABAMA,TOTAL,,00000000,2025-09-12 12:00:00.000,,GRAIN,,,,BU,"56,440,000",ALABAMA,NOT SPECIFIED,01,00,01,ALL PRODUCTION PRACTICES,YEAR - SEP FORECAST,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
PRODUCTION,,FIELD CROPS,,STATE,,UNITED STATES,2024,AL,ANNUAL,SURVEY,,,CROPS,ALABAMA,TOTAL,,00000000,2025-09-30 12:00:00.000,,GRAIN,,,,BU,"30,240,000",ALABAMA,NOT SPECIFIED,01,00,01,ALL PRODUCTION PRACTICES,YEAR,ALL CLASSES,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",00,,9000
