zip_5,domaincat_desc,group_desc,week_ending,sector_desc,class_desc,asd_code,watershed_desc,commodity_desc,county_code,state_name,domain_desc,Value,location_desc,freq_desc,short_desc,reference_period_desc,util_practice_desc,county_ansi,county_name,watershed_code,statisticcat_desc,source_desc,year,country_name,agg_level_desc,unit_desc,congr_district_code,prodn_practice_desc,CV (%),state_fips_code,end_code,begin_code,country_code,region_desc,state_ansi,asd_desc,load_time,state_alpha
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARKANSAS,TOTAL,"100,000",ARKANSAS,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2024,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,05,00,00,9000,,05,,2025-09-30 12:00:00.000,AR
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARKANSAS,TOTAL,"80,000",ARKANSAS,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2023,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,05,00,00,9000,,05,,2024-09-30 12:00:00.000,AR
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARKANSAS,TOTAL,"80,000",ARKANSAS,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2022,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,05,00,00,9000,,05,,2024-01-09 15:00:00.000,AR
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARKANSAS,TOTAL,"100,000",ARKANSAS,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2021,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,05,00,00,9000,,05,,2024-01-09 15:00:00.000,AR
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARKANSAS,TOTAL,"90,000",ARKANSAS,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2020,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,05,00,00,9000,,05,,2024-01-09 15:00:00.000,AR
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARKANSAS,TOTAL,"112,000",ARKANSAS,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2019,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,05,00,00,9000,,05,,2024-01-09 15:00:00.000,AR
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARKANSAS,TOTAL,"63,000",ARKANSAS,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2018,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,05,00,00,9000,,05,,2024-01-09 15:00:00.000,AR
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARKANSAS,TOTAL,"38,000",ARKANSAS,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2017,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,05,00,00,9000,,05,,2019-02-06 15:00:06.000,AR
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARKANSAS,TOTAL,"30,000",ARKANSAS,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2016,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,05,00,00,9000,,05,,2019-02-06 15:00:06.000,AR
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,ARKANSAS,TOTAL,"30,000",ARKANSAS,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2015,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,05,00,00,9000,,05,,2019-02-06 15:00:06.000,AR
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CALIFORNIA,TOTAL,"9,855,000",CALIFORNIA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2025,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,06,00,00,9000,,06,,2026-01-12 12:00:00.000,CA
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CALIFORNIA,TOTAL,"9,880,000",CALIFORNIA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2024,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,06,00,00,9000,,06,,2025-09-30 12:00:00.000,CA
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CALIFORNIA,TOTAL,"9,100,000",CALIFORNIA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2023,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,06,00,00,9000,,06,,2024-09-30 12:00:00.000,CA
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CALIFORNIA,TOTAL,"8,710,000",CALIFORNIA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2022,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,06,00,00,9000,,06,,2024-01-09 15:00:00.000,CA
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CALIFORNIA,TOTAL,"9,660,000",CALIFORNIA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2021,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,06,00,00,9000,,06,,2024-01-09 15:00:00.000,CA
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CALIFORNIA,TOTAL,"10,125,000",CALIFORNIA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2020,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,06,00,00,9000,,06,,2024-01-09 15:00:00.000,CA
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CALIFORNIA,TOTAL,"11,205,000",CALIFORNIA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2019,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,06,00,00,9000,,06,,2024-01-09 15:00:00.000,CA
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CALIFORNIA,TOTAL,"9,900,000",CALIFORNIA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2018,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,06,00,00,9000,,06,,2024-01-09 15:00:00.000,CA
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CALIFORNIA,TOTAL,"9,143,000",CALIFORNIA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2017,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,06,00,00,9000,,06,,2019-02-06 15:00:06.000,CA
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CALIFORNIA,TOTAL,"8,348,000",CALIFORNIA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2016,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,06,00,00,9000,,06,,2019-02-06 15:00:06.000,CA
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CALIFORNIA,TOTAL,"9,563,000",CALIFORNIA,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2015,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,06,00,00,9000,,06,,2019-02-06 15:00:06.000,CA
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,COLORADO,TOTAL,"4,600,000",COLORADO,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2025,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,08,00,00,9000,,08,,2026-01-12 12:00:00.000,CO
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,COLORADO,TOTAL,"4,500,000",COLORADO,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2024,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,08,00,00,9000,,08,,2025-09-30 12:00:00.000,CO
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,COLORADO,TOTAL,"5,758,000",COLORADO,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2023,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,08,00,00,9000,,08,,2024-09-30 12:00:00.000,CO
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,COLORADO,TOTAL,"3,705,000",COLORADO,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2022,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,08,00,00,9000,,08,,2024-01-09 15:00:00.000,CO
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,COLORADO,TOTAL,"4,410,000",COLORADO,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2021,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,08,00,00,9000,,08,,2024-01-09 15:00:00.000,CO
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,COLORADO,TOTAL,"5,060,000",COLORADO,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2020,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,08,00,00,9000,,08,,2024-01-09 15:00:00.000,CO
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,COLORADO,TOTAL,"4,200,000",COLORADO,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2019,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,08,00,00,9000,,08,,2024-01-09 15:00:00.000,CO
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,COLORADO,TOTAL,"4,180,000",COLORADO,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2018,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,08,00,00,9000,,08,,2024-01-09 15:00:00.000,CO
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,COLORADO,TOTAL,"3,315,000",COLORADO,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2017,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,08,00,00,9000,,08,,2019-02-06 15:00:06.000,CO
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,COLORADO,TOTAL,"3,360,000",COLORADO,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2016,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,08,00,00,9000,,08,,2019-02-06 15:00:06.000,CO
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,COLORADO,TOTAL,"3,060,000",COLORADO,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2015,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,08,00,00,9000,,08,,2019-02-06 15:00:06.000,CO
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CONNECTICUT,TOTAL,"399,000",CONNECTICUT,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2025,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,09,00,00,9000,,09,,2026-01-12 12:00:00.000,CT
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CONNECTICUT,TOTAL,"400,000",CONNECTICUT,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2024,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,09,00,00,9000,,09,,2025-09-30 12:00:00.000,CT
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CONNECTICUT,TOTAL,"340,000",CONNECTICUT,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2023,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,09,00,00,9000,,09,,2024-09-30 12:00:00.000,CT
,NOT SPECIFIED,FIELD CROPS,,CROPS,ALL CLASSES,,,CORN,,CONNECTICUT,TOTAL,"460,000",CONNECTICUT,ANNUAL,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS",YEAR,SILAGE,,,00000000,PRODUCTION,SURVEY,2022,UNITED STATES,STATE,TONS,,ALL PRODUCTION PRACTICES,,09,00,00,9000,,09,,2024-01-09 15:00:00.000,CT
