state_ansi,prodn_practice_desc,class_desc,reference_period_desc,commodity_desc,end_code,short_desc,CV (%),country_code,state_fips_code,begin_code,county_name,unit_desc,Value,state_name,domaincat_desc,county_ansi,util_practice_desc,asd_code,county_code,location_desc,domain_desc,asd_desc,watershed_code,load_time,watershed_desc,region_desc,sector_desc,agg_level_desc,week_ending,congr_district_code,country_name,year,state_alpha,freq_desc,source_desc,statisticcat_desc,zip_5,group_desc
,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,98,09,,BU,"101,288,000",OTHER STATES,NOT SPECIFIED,,GRAIN,,,OTHER STATES,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2015,OT,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
01,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,01,09,,BU,                 (D),ALABAMA,NOT SPECIFIED,,GRAIN,,,ALABAMA,TOTAL,,00000000,2026-01-12 12:00:00.000,,,CROPS,STATE,,,UNITED STATES,2025,AL,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
01,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,01,09,,BU,                 (D),ALABAMA,NOT SPECIFIED,,GRAIN,,,ALABAMA,TOTAL,,00000000,2025-01-10 12:00:00.000,,,CROPS,STATE,,,UNITED STATES,2024,AL,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
01,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,01,09,,BU,                 (D),ALABAMA,NOT SPECIFIED,,GRAIN,,,ALABAMA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2023,AL,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
01,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,01,09,,BU,                 (D),ALABAMA,NOT SPECIFIED,,GRAIN,,,ALABAMA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2022,AL,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
01,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,01,09,,BU,                 (D),ALABAMA,NOT SPECIFIED,,GRAIN,,,ALABAMA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2021,AL,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
01,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,01,09,,BU,                 (D),ALABAMA,NOT SPECIFIED,,GRAIN,,,ALABAMA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2020,AL,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
01,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,01,09,,BU,                 (D),ALABAMA,NOT SPECIFIED,,GRAIN,,,ALABAMA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2019,AL,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
01,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,01,09,,BU,                 (D),ALABAMA,NOT SPECIFIED,,GRAIN,,,ALABAMA,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2018,AL,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
01,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,01,09,,BU,                 (D),ALABAMA,NOT SPECIFIED,,GRAIN,,,ALABAMA,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2017,AL,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
01,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,01,09,,BU,                 (D),ALABAMA,NOT SPECIFIED,,GRAIN,,,ALABAMA,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2016,AL,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
01,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,01,09,,BU,                 (D),ALABAMA,NOT SPECIFIED,,GRAIN,,,ALABAMA,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2015,AL,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
04,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,04,09,,BU,                 (D),ARIZONA,NOT SPECIFIED,,GRAIN,,,ARIZONA,TOTAL,,00000000,2026-01-12 12:00:00.000,,,CROPS,STATE,,,UNITED STATES,2025,AZ,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
04,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,04,09,,BU,                 (D),ARIZONA,NOT SPECIFIED,,GRAIN,,,ARIZONA,TOTAL,,00000000,2025-01-10 12:00:00.000,,,CROPS,STATE,,,UNITED STATES,2024,AZ,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
04,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,04,09,,BU,                 (D),ARIZONA,NOT SPECIFIED,,GRAIN,,,ARIZONA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2023,AZ,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
04,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,04,09,,BU,                 (D),ARIZONA,NOT SPECIFIED,,GRAIN,,,ARIZONA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2022,AZ,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
04,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,04,09,,BU,                 (D),ARIZONA,NOT SPECIFIED,,GRAIN,,,ARIZONA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2021,AZ,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
04,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,04,09,,BU,                 (D),ARIZONA,NOT SPECIFIED,,GRAIN,,,ARIZONA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2020,AZ,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
04,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,04,09,,BU,                 (D),ARIZONA,NOT SPECIFIED,,GRAIN,,,ARIZONA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2019,AZ,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
04,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,04,09,,BU,                 (D),ARIZONA,NOT SPECIFIED,,GRAIN,,,ARIZONA,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2018,AZ,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
04,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,04,09,,BU,                 (D),ARIZONA,NOT SPECIFIED,,GRAIN,,,ARIZONA,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2017,AZ,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
04,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,04,09,,BU,                 (D),ARIZONA,NOT SPECIFIED,,GRAIN,,,ARIZONA,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2016,AZ,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
04,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,04,09,,BU,                 (D),ARIZONA,NOT SPECIFIED,,GRAIN,,,ARIZONA,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2015,AZ,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
05,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,05,09,,BU,                 (D),ARKANSAS,NOT SPECIFIED,,GRAIN,,,ARKANSAS,TOTAL,,00000000,2026-01-12 12:00:00.000,,,CROPS,STATE,,,UNITED STATES,2025,AR,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
05,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,05,09,,BU,                 (D),ARKANSAS,NOT SPECIFIED,,GRAIN,,,ARKANSAS,TOTAL,,00000000,2025-01-10 12:00:00.000,,,CROPS,STATE,,,UNITED STATES,2024,AR,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
05,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,05,09,,BU,                 (D),ARKANSAS,NOT SPECIFIED,,GRAIN,,,ARKANSAS,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2023,AR,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
05,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,05,09,,BU,                 (D),ARKANSAS,NOT SPECIFIED,,GRAIN,,,ARKANSAS,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2022,AR,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
05,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,05,09,,BU,                 (D),ARKANSAS,NOT SPECIFIED,,GRAIN,,,ARKANSAS,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2021,AR,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
05,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,05,09,,BU,                 (D),ARKANSAS,NOT SPECIFIED,,GRAIN,,,ARKANSAS,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2020,AR,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
05,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,05,09,,BU,                 (D),ARKANSAS,NOT SPECIFIED,,GRAIN,,,ARKANSAS,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2019,AR,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
05,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,05,09,,BU,                 (D),ARKANSAS,NOT SPECIFIED,,GRAIN,,,ARKANSAS,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2018,AR,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
05,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,05,09,,BU,                 (D),ARKANSAS,NOT SPECIFIED,,GRAIN,,,ARKANSAS,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2017,AR,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
05,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,05,09,,BU,                 (D),ARKANSAS,NOT SPECIFIED,,GRAIN,,,ARKANSAS,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2016,AR,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
05,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,05,09,,BU,                 (D),ARKANSAS,NOT SPECIFIED,,GRAIN,,,ARKANSAS,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2015,AR,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
06,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,06,09,,BU,                 (D),CALIFORNIA,NOT SPECIFIED,,GRAIN,,,CALIFORNIA,TOTAL,,00000000,2026-01-12 12:00:00.000,,,CROPS,STATE,,,UNITED STATES,2025,CA,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
06,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,06,09,,BU,                 (D),CALIFORNIA,NOT SPECIFIED,,GRAIN,,,CALIFORNIA,TOTAL,,00000000,2025-01-10 12:00:00.000,,,CROPS,STATE,,,UNITED STATES,2024,CA,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
06,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,06,09,,BU,                 (D),CALIFORNIA,NOT SPECIFIED,,GRAIN,,,CALIFORNIA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2023,CA,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
06,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,06,09,,BU,                 (D),CALIFORNIA,NOT SPECIFIED,,GRAIN,,,CALIFORNIA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2022,CA,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
06,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,06,09,,BU,                 (D),CALIFORNIA,NOT SPECIFIED,,GRAIN,,,CALIFORNIA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2021,CA,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
06,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,06,09,,BU,                 (D),CALIFORNIA,NOT SPECIFIED,,GRAIN,,,CALIFORNIA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2020,CA,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
06,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,06,09,,BU,                 (D),CALIFORNIA,NOT SPECIFIED,,GRAIN,,,CALIFORNIA,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2019,CA,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
06,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,06,09,,BU,                 (D),CALIFORNIA,NOT SPECIFIED,,GRAIN,,,CALIFORNIA,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2018,CA,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
06,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,06,09,,BU,                 (D),CALIFORNIA,NOT SPECIFIED,,GRAIN,,,CALIFORNIA,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2017,CA,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
06,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,06,09,,BU,                 (D),CALIFORNIA,NOT SPECIFIED,,GRAIN,,,CALIFORNIA,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2016,CA,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
06,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,06,09,,BU,                 (D),CALIFORNIA,NOT SPECIFIED,,GRAIN,,,CALIFORNIA,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2015,CA,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
08,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,08,09,,BU,"11,222,000",COLORADO,NOT SPECIFIED,,GRAIN,,,COLORADO,TOTAL,,00000000,2026-01-12 12:00:00.000,,,CROPS,STATE,,,UNITED STATES,2025,CO,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
08,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,08,09,,BU,"10,917,000",COLORADO,NOT SPECIFIED,,GRAIN,,,COLORADO,TOTAL,,00000000,2025-01-10 12:00:00.000,,,CROPS,STATE,,,UNITED STATES,2024,CO,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
08,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,08,09,,BU,"9,919,000",COLORADO,NOT SPECIFIED,,GRAIN,,,COLORADO,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2023,CO,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
08,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,08,09,,BU,"10,763,000",COLORADO,NOT SPECIFIED,,GRAIN,,,COLORADO,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2022,CO,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
08,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,08,09,,BU,"9,660,000",COLORADO,NOT SPECIFIED,,GRAIN,,,COLORADO,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2021,CO,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
08,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,08,09,,BU,"15,688,000",COLORADO,NOT SPECIFIED,,GRAIN,,,COLORADO,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2020,CO,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
08,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,08,09,,BU,"13,795,000",COLORADO,NOT SPECIFIED,,GRAIN,,,COLORADO,TOTAL,,00000000,2024-01-09 15:00:00.000,,,CROPS,STATE,,,UNITED STATES,2019,CO,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
08,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,08,09,,BU,"13,021,000",COLORADO,NOT SPECIFIED,,GRAIN,,,COLORADO,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2018,CO,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
08,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,08,09,,BU,"10,610,000",COLORADO,NOT SPECIFIED,,GRAIN,,,COLORADO,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2017,CO,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
08,ALL PRODUCTION PRACTICES,ALL CLASSES,FIRST OF SEP,CORN,09,"CORN, GRAIN - STOCKS, MEASURED IN BU",,9000,08,09,,BU,"22,128,000",COLORADO,NOT SPECIFIED,,GRAIN,,,COLORADO,TOTAL,,00000000,2019-02-06 15:00:06.000,,,CROPS,STATE,,,UNITED STATES,2016,CO,POINT IN TIME,SURVEY,STOCKS,,FIELD CROPS
